City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
269,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
271,Sao Filipe,CV,76.75,overcast clouds,14.8961,-24.4956,Hotel Xaguate
277,Crateus,BR,81.48,overcast clouds,-5.1783,-40.6775,Orient Plaza Hotel
279,Mulege,MX,73.85,overcast clouds,26.8833,-111.9833,Casa Granada
281,Grand-Bourg,GP,75.15,clear sky,15.8835,-61.3148,Coco Beach Resort
282,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
283,Kidal,ML,77.02,broken clouds,18.4411,1.4078,
285,Srivardhan,IN,75.43,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
288,Phuket,TH,87.1,few clouds,8.0,98.25,The Surin
292,Tharad,IN,77.7,few clouds,24.3961,71.6267,Shree Nandan Couriyar Service
293,Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
294,Paragominas,BR,72.57,light rain,-2.9667,-47.4833,INOVA
297,Bathurst,AU,75.96,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
299,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
305,Tete,MZ,86.09,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
306,Jimenez,MX,72.23,overcast clouds,28.3333,-105.4,El torreon
307,Alta Floresta,BR,70.77,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
317,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
320,Mbour,SN,76.05,overcast clouds,14.422,-16.9638,Tama Lodge
326,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
327,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
333,Hurghada,EG,73.06,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
335,Belem De Sao Francisco,BR,79.29,overcast clouds,-8.7539,-38.9658,Village Hotel
336,Bambanglipuro,ID,85.86,overcast clouds,-7.95,110.2833,Puri Brata
339,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
341,Bosaso,SO,75.56,clear sky,11.2842,49.1816,Red Sea Hotel
342,Tateyama,JP,70.07,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
343,Wiang Sa,TH,82.67,light rain,8.6359,99.3666,ชำนาญอินน์
344,Lorengau,PG,86.34,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
345,Pueblo Bello,CO,73.85,overcast clouds,8.2041,-76.526,
347,Morondava,MG,77.74,scattered clouds,-20.2833,44.2833,La Case Bambou
348,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
350,Shorapur,IN,71.26,broken clouds,16.5167,76.75,Up Inn Lodge
357,Vieques,PR,80.62,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
362,Aloleng,PH,86.95,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
367,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
369,Harper,LR,77.95,light rain,4.375,-7.7169,Screensaver
370,Inhambane,MZ,73.87,clear sky,-23.865,35.3833,Oceano
371,Kadiri,IN,71.46,overcast clouds,14.1167,78.1667,Railway Guest House
372,Sorong,ID,86.45,clear sky,-0.8833,131.25,waigo splash hotel
374,Ambon,ID,85.1,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
378,Humaita,BR,74.1,heavy intensity rain,-7.5061,-63.0208,Corrêa Hotel
379,Bandiagara,ML,82.36,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
380,Whakatane,NZ,70.77,clear sky,-37.9585,176.9854,Pacific Coast Motel
386,Flinders,AU,75.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
388,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
391,Linden,GY,75.34,overcast clouds,6.0,-58.3,Crimson Bat Hotel
