City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
123,Kasimov,RU,54.9411,41.3953,39.76,81,94,13.2,overcast clouds
124,Berlevag,NO,70.8578,29.0864,28.04,77,100,8.9,light snow
125,Norman Wells,CA,65.282,-126.8329,12.24,85,90,2.3,light snow
126,Minas Novas,BR,-17.2186,-42.5903,69.55,99,100,2.71,overcast clouds
127,Pisco,PE,-13.7,-76.2167,64.45,82,90,13.8,overcast clouds
128,Torbay,CA,47.6666,-52.7314,40.75,93,75,8.05,broken clouds
129,Karratha,AU,-20.7377,116.8463,78.24,32,4,17.25,clear sky
130,Teahupoo,PF,-17.8333,-149.2667,76.96,79,37,6.53,light rain
131,Saint George,US,37.1041,-113.5841,66.34,36,1,3.0,clear sky
132,Carnarvon,AU,-24.8667,113.6333,71.67,56,63,19.57,broken clouds
133,Mount Gambier,AU,-37.8333,140.7667,60.53,58,96,7.52,overcast clouds
134,Pyapon,MM,16.2833,95.6833,81.12,83,74,8.84,broken clouds
135,Sitka,US,57.0531,-135.33,42.69,49,75,4.61,broken clouds
136,Lompoc,US,34.6391,-120.4579,57.51,83,1,3.44,mist
137,Airai,TL,-8.9266,125.4092,75.99,61,57,1.43,broken clouds
138,Necochea,AR,-38.5473,-58.7368,58.03,94,9,8.14,clear sky
139,Leshukonskoye,RU,64.8989,45.7622,20.77,96,61,4.81,broken clouds
140,Hilo,US,19.7297,-155.09,82.27,71,1,6.91,clear sky
141,Agadez,NE,19.75,10.25,73.22,14,95,7.47,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,75,10.36,broken clouds
143,Mahur,IN,25.1667,93.1167,67.51,62,23,1.99,few clouds
144,Buenos Aires,AR,-34.6132,-58.3772,70.99,81,0,2.3,clear sky
145,Yatou,CN,37.15,122.3833,44.87,59,44,21.0,scattered clouds
146,Ahipara,NZ,-35.1667,173.1667,68.85,62,14,2.89,few clouds
147,Cururupu,BR,-1.8283,-44.8683,76.41,88,85,4.21,overcast clouds
148,Palmer,US,42.1584,-72.3287,50.41,74,0,0.81,clear sky
149,Aklavik,CA,68.2191,-135.0107,16.63,96,100,6.69,overcast clouds
150,Jamestown,US,42.097,-79.2353,57.72,62,1,1.99,clear sky
151,Ifanadiana,MG,-21.3,47.6333,65.46,97,49,1.19,scattered clouds
152,Saint-Augustin,CA,51.226,-58.6502,39.79,93,100,2.8,overcast clouds
153,Fenoarivo,MG,-18.933,47.4354,59.07,100,75,3.44,broken clouds
154,Tautira,PF,-17.7333,-149.15,82.42,79,26,6.26,light rain
155,Verkhnevilyuysk,RU,63.4453,120.3167,28.47,94,100,7.45,overcast clouds
156,Moyale,KE,3.5167,39.0584,67.91,82,100,2.19,moderate rain
157,Thompson,CA,55.7435,-97.8558,33.96,80,40,9.22,scattered clouds
158,Port Hardy,CA,50.6996,-127.4199,46.4,87,90,28.77,light rain
159,Kahului,US,20.8947,-156.47,82.42,69,20,24.16,few clouds
160,Beloha,MG,-25.1667,45.05,71.46,47,58,4.83,broken clouds
161,Naze,JP,28.3667,129.4833,65.32,67,83,16.24,broken clouds
162,Nyurba,RU,63.2842,118.3319,28.53,94,100,9.35,light snow
163,Ilheus,BR,-14.7889,-39.0494,73.67,87,100,2.66,overcast clouds
164,Namatanai,PG,-3.6667,152.4333,85.89,66,7,11.16,clear sky
165,Salalah,OM,17.0151,54.0924,73.49,68,0,3.44,clear sky
166,Ukiah,US,39.1502,-123.2078,53.01,81,90,6.91,overcast clouds
167,East London,ZA,-33.0153,27.9116,59.63,85,100,14.67,light rain
168,Barcelos,PT,41.5388,-8.6151,56.68,81,11,4.18,few clouds
169,Lake Charles,US,30.2131,-93.2044,61.99,88,1,0.0,mist
170,Isla Aguada,MX,18.7833,-91.4667,77.68,64,0,13.78,clear sky
171,Hasaki,JP,35.7333,140.8333,68.4,83,100,24.0,light rain
172,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,75,10.2,broken clouds
173,Laguna,US,38.421,-121.4238,61.45,67,90,1.01,overcast clouds
174,Sur,OM,22.5667,59.5289,76.48,56,0,8.97,clear sky
175,Rabo De Peixe,PT,37.8,-25.5833,69.28,84,40,9.22,scattered clouds
176,Kavieng,PG,-2.5744,150.7967,85.59,68,30,16.96,light rain
177,Avera,US,33.194,-82.5271,57.07,45,0,4.38,clear sky
178,Rassvet,RU,46.8333,40.75,55.81,98,94,13.42,overcast clouds
179,Andrews,US,32.3187,-102.5457,69.42,50,1,11.5,clear sky
180,Ilulissat,GL,69.2167,-51.1,8.62,61,52,14.97,broken clouds
181,Niono,ML,14.2526,-5.993,81.91,22,52,8.63,broken clouds
182,Xining,CN,36.6167,101.7667,24.12,55,0,2.73,clear sky
183,Lalganj,IN,25.8667,85.1833,62.55,59,20,1.77,few clouds
184,Plettenberg Bay,ZA,-34.0527,23.3716,54.55,83,0,7.16,clear sky
185,Maloy,NO,61.9353,5.1136,47.82,89,100,21.0,moderate rain
186,Pascagoula,US,30.3658,-88.5561,57.24,93,1,0.0,clear sky
187,Nhulunbuy,AU,-12.2333,136.7667,92.01,52,40,10.36,scattered clouds
188,Caravelas,BR,-17.7125,-39.2481,74.57,89,86,4.5,overcast clouds
189,Ohara,JP,35.25,140.3833,69.01,86,100,21.27,overcast clouds
190,Richards Bay,ZA,-28.783,32.0377,68.07,84,99,17.78,overcast clouds
191,Masuguru,TZ,-11.3667,38.4167,73.65,83,11,3.65,few clouds
192,Tilichiki,RU,60.4667,166.1,22.37,92,100,4.9,overcast clouds
193,Tabas,IR,33.5959,56.9244,49.87,40,0,4.03,clear sky
194,Tura,IN,25.5198,90.2201,68.94,69,75,2.08,broken clouds
195,San Quintin,MX,30.4833,-115.95,62.31,83,0,6.98,clear sky
196,Alofi,NU,-19.0595,-169.9187,82.29,74,75,11.5,light rain
197,Safakulevo,RU,54.9901,62.5442,33.78,80,69,15.55,broken clouds
198,Wakkanai,JP,45.4094,141.6739,55.38,62,75,10.36,broken clouds
199,Burns Lake,CA,54.2331,-125.7533,27.82,80,100,7.92,overcast clouds
200,Svetlogorsk,BY,52.6333,29.7333,36.48,68,99,13.04,overcast clouds
201,Manono,CD,-7.3,27.4167,69.48,75,66,1.99,broken clouds
202,Upernavik,GL,72.7868,-56.1549,9.55,80,76,5.53,broken clouds
203,Takoradi,GH,4.8845,-1.7554,78.35,88,100,5.37,light rain
204,Thanh Hoa,VN,19.8,105.7667,67.75,58,78,9.8,broken clouds
205,Longyearbyen,SJ,78.2186,15.6401,13.84,79,75,8.05,light snow
206,Pingliang,CN,35.5392,106.6861,38.41,19,0,3.11,clear sky
207,Los Banos,PH,14.1667,121.1833,88.81,66,100,12.66,overcast clouds
208,Eydhafushi,MV,5.1033,73.0708,81.72,77,88,13.4,overcast clouds
209,Deputatskiy,RU,69.3,139.9,-8.57,92,94,2.42,overcast clouds
210,Raga,SS,8.4596,25.678,75.94,72,100,3.51,overcast clouds
211,Muslyumovo,RU,55.3033,53.1947,40.23,96,100,16.89,overcast clouds
212,Ramotswa,BW,-24.8716,25.8699,62.22,34,100,6.73,overcast clouds
213,Nalut,LY,30.3333,10.85,65.3,37,100,9.44,overcast clouds
214,Pacifica,US,37.6138,-122.4869,61.74,57,90,1.99,overcast clouds
215,La Palma,US,33.8464,-118.0467,66.11,83,20,1.01,few clouds
216,Saint-Louis,SN,16.3333,-15.0,80.15,23,95,10.42,overcast clouds
217,Macamic,CA,48.7502,-78.9996,48.43,88,61,11.97,broken clouds
218,College,US,64.8569,-147.8028,15.75,71,75,10.36,broken clouds
219,Gat,IL,31.61,34.7642,71.91,25,10,6.33,clear sky
220,Mount Isa,AU,-20.7333,139.5,87.57,48,7,8.05,clear sky
