City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Acapulco,MX,2021-11-08 18:00:01,16.8634,-99.8901,83.91,68,37,4.0
137,Qaanaaq,GL,2021-11-08 18:01:26,77.484,-69.3632,1.36,59,0,8.43
138,Puerto Leguizamo,CO,2021-11-08 18:01:26,-0.1934,-74.7819,93.61,42,50,3.36
139,Avera,US,2021-11-08 18:01:27,33.194,-82.5271,70.48,26,0,6.58
140,Atambua,ID,2021-11-08 18:01:27,-9.1061,124.8925,76.5,85,93,2.21
141,Tasiilaq,GL,2021-11-08 18:01:27,65.6145,-37.6368,26.76,66,100,5.53
142,Ardon,RU,2021-11-08 18:01:28,43.17,44.29,46.53,70,96,2.33
143,Faanui,PF,2021-11-08 18:01:28,-16.4833,-151.75,78.57,76,29,7.94
144,Madinat Sittah Uktubar,EG,2021-11-08 18:00:13,29.8167,31.05,76.6,39,0,11.34
145,Lata,PT,2021-11-08 18:01:29,40.1629,-8.3327,59.04,77,2,3.67
146,Martapura,ID,2021-11-08 18:01:29,-3.4167,114.85,75.29,100,94,4.61
147,Aanekoski,FI,2021-11-08 18:01:30,62.6946,25.818,25.68,74,0,4.27
148,Bubaque,GW,2021-11-08 18:01:30,11.2833,-15.8333,83.68,71,54,10.6
149,Isangel,VU,2021-11-08 18:01:31,-19.55,169.2667,73.53,87,48,4.21
150,Turukhansk,RU,2021-11-08 18:01:31,65.8167,87.9833,15.78,91,100,8.7
151,Avarua,CK,2021-11-08 18:01:32,-21.2078,-159.775,75.25,69,75,6.91
152,Souillac,MU,2021-11-08 17:59:47,-20.5167,57.5167,77.38,83,75,13.42
153,Paamiut,GL,2021-11-08 18:01:33,61.994,-49.6678,20.7,79,25,7.45
154,Norman Wells,CA,2021-11-08 18:01:33,65.282,-126.8329,6.42,92,98,5.7
155,Necochea,AR,2021-11-08 17:57:28,-38.5473,-58.7368,66.04,60,2,11.95
156,Gardenstown,GB,2021-11-08 18:01:34,57.671,-2.336,56.79,86,100,12.77
157,Bonfim,BR,2021-11-08 18:01:34,3.0833,-59.95,86.79,55,100,5.26
158,Ponta Do Sol,PT,2021-11-08 18:01:35,32.6667,-17.1,70.72,68,0,4.68
159,Nizhniy Tsasuchey,RU,2021-11-08 18:01:36,50.5167,115.1333,20.97,88,44,7.47
160,Jinchang,CN,2021-11-08 18:01:36,38.4953,102.1739,24.85,31,3,3.06
161,Rosarito,MX,2021-11-08 18:01:36,32.3333,-117.0333,71.67,64,5,2.73
162,Castro,BR,2021-11-08 18:00:27,-24.7911,-50.0119,73.47,73,88,6.04
163,Hamilton,US,2021-11-08 18:01:34,39.1834,-84.5333,69.08,43,1,1.99
164,Kushiro,JP,2021-11-08 18:01:37,42.975,144.3747,51.21,93,51,10.33
165,Kavaratti,IN,2021-11-08 18:01:38,10.5669,72.642,81.73,71,94,6.06
166,Verkh-Usugli,RU,2021-11-08 18:01:38,52.7,115.1667,15.87,93,53,2.39
167,North Bend,US,2021-11-08 18:01:39,43.4065,-124.2243,47.86,100,45,6.4
168,Greenwood,US,2021-11-08 17:58:48,34.1668,-82.1165,69.87,40,0,4.74
169,El Carmen,CO,2021-11-08 18:01:39,8.5106,-73.4478,76.39,83,99,2.39
170,Port Hardy,CA,2021-11-08 18:00:59,50.6996,-127.4199,41.02,89,100,23.67
171,Camacha,PT,2021-11-08 18:01:40,33.0833,-16.3333,66.96,60,40,9.22
172,Prince Rupert,CA,2021-11-08 18:01:40,54.3161,-130.3201,37.98,82,64,8.23
173,Rio Gallegos,AR,2021-11-08 18:01:41,-51.6226,-69.2181,62.44,25,7,7.76
174,Namibe,AO,2021-11-08 18:01:42,-15.1961,12.1522,69.3,75,4,2.66
175,Tuktoyaktuk,CA,2021-11-08 18:01:42,69.4541,-133.0374,11.57,94,94,2.48
176,Bandarbeyla,SO,2021-11-08 18:01:42,9.4942,50.8122,78.55,66,56,12.17
177,Suntar,RU,2021-11-08 18:01:43,62.1444,117.6319,27.99,96,99,8.05
178,Gao,ML,2021-11-08 18:01:43,16.6362,1.637,87.64,13,89,2.06
179,Los Llanos De Aridane,ES,2021-11-08 18:01:44,28.6585,-17.9182,65.95,73,20,11.99
180,Hofn,IS,2021-11-08 17:57:19,64.2539,-15.2082,41.02,87,90,9.22
181,Pinawa,CA,2021-11-08 18:01:44,50.1489,-95.8811,45.1,41,13,9.98
182,Tuatapere,NZ,2021-11-08 18:01:45,-46.1333,167.6833,55.81,87,86,5.23
183,Taitung,TW,2021-11-08 18:01:45,22.7583,121.1444,66.81,86,87,16.2
